,file,id_a,id_b,count_a,count_b
255,1177_131_184_6_1_S1123,131,184,2897,4
256,650_186_187_3_1_S625,186,187,15596,0
257,696_4_200_1_5_S667,4,200,9092,0
258,1143_187_184_2_8_S1094,187,184,1,3
259,745_2_186_2_5_S716,2,186,1,14577
260,709_2_184_6_5_S680,2,184,0,8
261,973_2_186_4_7_S931,2,186,0,7985
262,582_2_156_10_4_S557,2,156,0,7
263,315_2_184_5_7_S303,2,184,6,799
264,520_2_156_4_3_S499,2,156,1,26
265,76_187_200_5_1_S76,187,200,276,0
266,402_4_187_10_3_S385,4,187,7,0
267,1189_131_200_3_1_S1135,131,200,12,0
268,120_2_4_5_8_S116,2,4,0,6458
269,933_2_187_3_4_S896,2,187,0,2
270,253_131_156_1_3_S245,131,156,0,0
271,144_156_200_2_1_S140,156,200,3884,0
272,176_186_184_3_3_S172,186,184,0,2
273,451_187_200_7_1_S434,187,200,17,0
274,611_4_131_9_7_S586,4,131,5,2
275,1178_131_184_6_2_S1124,131,184,99,0
276,369_2_156_6_9_S357,2,156,1,3397
277,255_131_156_2_1_S247,131,156,0,0
278,1098_186_131_9_7_S1049,186,131,0,0
279,465_186_184_9_1_S448,186,184,0,8
280,816_4_200_3_1_S783,4,200,10,0
281,40_4_156_4_1_S40,4,156,6,249
282,295_2_4_8_4_S283,2,4,1,10452
283,1030_184_200_8_3_S988,184,200,1,0
284,405_131_187_10_1_S388,131,187,16,1
285,334_186_131_10_3_S322,186,131,0,12915
286,942_2_186_9_5_S905,2,186,0,5
287,785_4_187_6_3_S752,4,187,16,0
288,391_186_156_8_7_S374,186,156,0,54
289,1096_186_131_9_5_S1047,186,131,1,30
290,1170_2_186_8_3_S1116,2,186,0,1
291,746_156_200_6_1_S717,156,200,11923,1
292,131_2_4_7_2_S127,2,4,0,4861
293,1120_184_200_9_4_S1071,184,200,0,0
294,1008_186_131_4_8_S966,186,131,2,8738
295,1201_186_200_8_1_S1147,186,200,9003,0
296,1046_131_186_7_9_S1004,131,186,5552,1
297,298_184_200_6_8_S286,184,200,10653,6
298,317_131_156_1_2_S305,131,156,0,0
299,166_187_184_5_5_S162,187,184,0,8
300,47_4_156_5_6_S47,4,156,3792,37
301,339_2_156_6_1_S327,2,156,7,5429
302,692_186_131_2_7_S663,186,131,0,12370
303,149_186_200_2_2_S145,186,200,5207,0
304,916_187_156_5_1_S879,187,156,0,3
305,30_187_184_5_6_S30,187,184,0,2129
306,1011_131_184_7_1_S969,131,184,2,0
307,868_187_156_10_4_S831,187,156,1,11405
308,241_156_184_5_5_S233,156,184,72,1
309,1016_131_184_7_6_S974,131,184,1,0
310,1114_186_4_5_8_S1065,186,4,0,6
311,1163_2_131_1_1_S1109,2,131,7,29034
312,890_4_131_4_1_S853,4,131,3,16
313,995_186_187_2_1_S953,186,187,4,3
314,646_186_187_7_5_S621,186,187,1,1
315,613_131_187_6_2_S588,131,187,14463,408
316,1105_2_187_6_7_S1056,2,187,0,1
317,778_156_200_10_3_S745,156,200,79,0
318,511_2_156_9_1_S490,2,156,0,0
319,878_4_184_2_4_S841,4,184,3750,98
320,196_131_187_4_7_S188,131,187,762,0
321,734_4_131_7_5_S705,4,131,8,806
322,587_4_200_8_2_S562,4,200,10,0
323,1140_187_184_2_5_S1091,187,184,0,7937
324,630_2_184_2_6_S605,2,184,0,7
325,1033_184_200_8_6_S991,184,200,5550,0
326,1119_184_200_9_3_S1070,184,200,5,0
327,874_4_184_10_10_S837,4,184,2857,2
328,360_184_200_6_4_S348,184,200,5189,2
329,330_186_184_2_7_S318,186,184,130,8018
330,945_2_186_9_8_S908,2,186,2,9375
331,909_4_187_7_3_S872,4,187,11434,1
